Pressure(hPa),O3PartialPressure(mPa),Temperature(C),GPHeight(m)
972.85,1.655,16.3,414
972.23,1.656,16.3,419
971.63,1.656,16.2,426
971.04,1.657,16.2,430
970.46,1.657,16.1,435
969.87,1.658,16.1,439
969.28,1.658,16,444
968.68,1.657,16,450
968.08,1.657,15.9,455
967.46,1.658,15.9,460
966.84,1.659,15.8,466
966.22,1.66,15.8,473
965.61,1.661,15.7,479
965.01,1.661,15.7,485
964.41,1.661,15.6,486
963.81,1.663,15.6,493
963.2,1.668,15.5,499
962.58,1.673,15.5,504
961.95,1.682,15.5,509
961.33,1.706,15.5,515
960.71,1.731,15.4,522
960.1,1.748,15.4,528
959.52,1.76,15.4,533
958.96,1.766,15.4,537
958.43,1.787,15.4,542
957.92,1.85,15.4,546
957.43,1.91,15.3,550
956.95,1.965,15.3,554
956.49,2.012,15.3,560
956.02,2.041,15.2,563
955.56,2.057,15.2,565
955.09,2.077,15.1,570
954.61,2.116,15.1,574
954.13,2.153,15.1,580
953.65,2.2,15.1,585
953.17,2.205,15.2,588
952.69,2.221,15.2,592
952.21,2.257,15.3,596
951.73,2.301,15.3,600
951.25,2.34,15.3,604
950.77,2.376,15.2,610
950.3,2.403,15.2,614
949.83,2.436,15.2,618
949.36,2.493,15.2,623
948.9,2.535,15.1,625
948.45,2.572,15.1,629
947.99,2.61,15.1,635
947.54,2.645,15,638
947.1,2.68,15,642
946.65,2.7,15,646
946.19,2.716,15,650
945.73,2.728,14.9,654
945.25,2.764,14.9,658
944.75,2.806,14.9,661
944.24,2.832,14.9,667
943.7,2.853,14.9,672
943.16,2.868,14.8,677
942.62,2.886,14.8,682
942.08,2.901,14.8,688
941.57,2.909,14.8,694
941.07,2.921,14.7,697
940.59,2.962,14.7,701
940.13,2.978,14.7,705
939.68,2.981,14.7,709
939.24,2.984,14.8,713
938.8,2.988,14.8,717
938.38,3.01,14.7,721
937.97,3.055,14.7,724
937.56,3.079,14.7,728
937.17,3.081,14.6,732
936.79,3.097,14.6,736
936.43,3.112,14.6,739
936.06,3.116,14.6,742
935.69,3.117,14.6,744
935.31,3.124,14.6,747
934.9,3.142,14.5,750
934.48,3.184,14.5,755
934.05,3.219,14.5,761
933.6,3.226,14.5,764
933.17,3.227,14.5,768
932.74,3.232,14.5,773
932.32,3.234,14.5,777
931.92,3.23,14.5,780
931.53,3.231,14.4,783
931.13,3.234,14.4,785
930.73,3.238,14.4,789
930.32,3.238,14.4,793
929.89,3.247,14.4,798
929.44,3.263,14.4,802
928.98,3.27,14.3,805
928.5,3.278,14.3,809
928,3.289,14.3,814
927.5,3.291,14.3,820
926.99,3.295,14.3,824
926.49,3.302,14.3,830
925.99,3.306,14.3,833
925.49,3.315,14.2,838
925.01,3.326,14.2,843
924.53,3.34,14.2,847
924.05,3.341,14.2,850
923.58,3.347,14.2,855
923.11,3.362,14.2,860
922.64,3.367,14.2,865
922.17,3.376,14.1,869
921.71,3.379,14.1,871
921.26,3.377,14.1,877
920.83,3.382,14.1,882
920.4,3.39,14.1,886
919.99,3.394,14,889
919.57,3.41,14,890
919.14,3.416,14,894
918.69,3.419,14,898
918.2,3.441,14,903
917.68,3.443,14.1,909
917.14,3.445,14.1,913
916.57,3.446,14,920
916,3.446,14,925
915.43,3.447,13.9,931
914.88,3.447,13.9,937
914.35,3.447,13.9,941
913.84,3.448,13.9,946
913.35,3.448,13.8,949
912.85,3.448,13.8,953
912.35,3.457,13.8,958
911.83,3.463,13.7,963
911.29,3.528,13.7,967
910.72,3.531,13.7,972
910.14,3.532,13.7,979
909.53,3.532,13.7,985
908.91,3.532,13.6,990
908.29,3.528,13.6,996
907.67,3.527,13.6,1002
907.06,3.52,13.6,1009
906.47,3.516,13.6,1016
905.9,3.513,13.5,1020
905.35,3.513,13.5,1024
904.81,3.513,13.5,1029
904.27,3.513,13.4,1033
903.74,3.513,13.4,1038
903.21,3.525,13.4,1044
902.67,3.528,13.3,1049
902.15,3.528,13.3,1054
901.63,3.529,13.3,1059
