Pressure(hPa),O3PartialPressure(mPa),Temperature(C),GPHeight(m)
550.63,2.501,-4,5069
550.17,2.506,-4,5075
549.71,2.512,-4.1,5082
549.24,2.512,-4.1,5087
548.76,2.501,-4.1,5095
548.29,2.49,-4.1,5103
547.84,2.488,-4.1,5110
547.4,2.488,-4.1,5117
546.97,2.477,-4.2,5123
546.57,2.457,-4.2,5127
546.18,2.451,-4.2,5132
545.79,2.447,-4.2,5138
545.4,2.446,-4.2,5143
545.01,2.447,-4.2,5148
544.62,2.45,-4.2,5154
544.21,2.454,-4.3,5161
543.8,2.454,-4.3,5167
543.39,2.455,-4.4,5173
542.98,2.457,-4.4,5179
542.57,2.459,-4.5,5185
542.16,2.462,-4.5,5190
541.75,2.466,-4.5,5196
541.33,2.472,-4.5,5202
540.91,2.478,-4.5,5208
540.47,2.492,-4.5,5213
540.03,2.504,-4.6,5222
539.58,2.508,-4.6,5229
539.14,2.516,-4.5,5236
538.71,2.52,-4.5,5242
538.29,2.532,-4.6,5248
537.89,2.534,-4.6,5254
537.5,2.534,-4.7,5259
537.12,2.534,-4.6,5265
536.74,2.535,-4.6,5270
536.37,2.538,-4.6,5275
535.99,2.553,-4.6,5280
535.61,2.57,-4.6,5286
535.22,2.586,-4.7,5291
534.83,2.621,-4.7,5297
534.43,2.627,-4.8,5304
534.03,2.637,-4.8,5310
533.63,2.641,-4.9,5315
533.23,2.653,-5,5321
532.82,2.659,-5,5326
532.41,2.669,-5,5333
531.99,2.677,-5,5339
531.55,2.683,-5,5345
531.11,2.716,-5,5352
530.65,2.727,-5,5358
530.19,2.729,-5,5364
529.73,2.749,-5.1,5374
529.28,2.757,-5.2,5382
528.83,2.761,-5.2,5388
528.4,2.765,-5.2,5392
527.98,2.782,-5.2,5400
527.57,2.783,-5.2,5405
527.17,2.784,-5.3,5412
526.78,2.774,-5.3,5417
526.41,2.76,-5.3,5422
526.04,2.759,-5.4,5430
525.69,2.759,-5.4,5435
525.34,2.751,-5.4,5439
525,2.72,-5.5,5443
524.66,2.696,-5.5,5448
524.32,2.693,-5.5,5452
523.96,2.691,-5.6,5458
523.6,2.688,-5.6,5464
523.23,2.68,-5.6,5470
522.85,2.677,-5.6,5475
522.47,2.675,-5.7,5480
522.08,2.674,-5.7,5488
521.7,2.671,-5.7,5493
521.31,2.666,-5.7,5499
520.93,2.659,-5.7,5504
520.55,2.651,-5.8,5510
520.17,2.646,-5.8,5515
519.77,2.644,-5.8,5521
519.38,2.64,-5.8,5526
518.97,2.628,-5.8,5533
518.56,2.61,-5.8,5541
518.15,2.591,-5.9,5547
517.75,2.574,-5.9,5554
517.34,2.556,-5.9,5559
516.95,2.522,-6,5564
516.54,2.502,-6.1,5569
516.14,2.497,-6.1,5576
515.73,2.495,-6.2,5583
515.32,2.489,-6.3,5589
514.9,2.481,-6.3,5595
514.48,2.471,-6.4,5601
514.07,2.46,-6.4,5609
513.67,2.451,-6.4,5615
513.28,2.436,-6.4,5622
512.9,2.417,-6.4,5627
512.52,2.403,-6.4,5632
512.15,2.395,-6.4,5637
511.78,2.391,-6.4,5642
511.4,2.388,-6.4,5648
511.01,2.385,-6.4,5653
510.6,2.384,-6.3,5660
510.19,2.38,-6.3,5667
509.78,2.371,-6.3,5674
509.37,2.354,-6.3,5680
508.98,2.33,-6.3,5688
508.6,2.304,-6.3,5693
508.23,2.275,-6.3,5698
507.88,2.26,-6.4,5703
507.53,2.258,-6.4,5707
507.18,2.256,-6.4,5712
506.83,2.253,-6.4,5718
506.47,2.244,-6.4,5724
506.12,2.224,-6.3,5732
505.77,2.217,-6.2,5736
505.43,2.217,-6.2,5741
505.09,2.217,-6.2,5746
504.76,2.217,-6.3,5751
504.43,2.218,-6.3,5756
504.11,2.218,-6.3,5761
503.79,2.224,-6.3,5766
503.46,2.252,-6.3,5771
503.13,2.273,-6.3,5776
502.8,2.278,-6.4,5781
502.46,2.279,-6.4,5786
502.11,2.283,-6.4,5791
501.75,2.289,-6.4,5796
501.38,2.306,-6.4,5801
501,2.313,-6.5,5808
500.6,2.32,-6.5,5815
500.2,2.328,-6.5,5823
499.81,2.328,-6.5,5830
499.42,2.328,-6.6,5834
499.04,2.328,-6.6,5839
498.66,2.328,-6.7,5846
498.3,2.329,-6.7,5853
497.95,2.329,-6.7,5859
497.61,2.331,-6.8,5864
497.29,2.331,-6.9,5869
496.98,2.335,-6.9,5871
496.68,2.355,-7,5877
496.38,2.36,-7,5882
496.08,2.366,-7,5887
495.79,2.378,-7,5891
495.49,2.384,-7.1,5895
495.19,2.385,-7.2,5900
494.88,2.38,-7.2,5904
494.55,2.38,-7.3,5909
494.2,2.38,-7.3,5914
493.83,2.382,-7.3,5920
493.45,2.383,-7.4,5926
493.06,2.383,-7.4,5933
492.67,2.378,-7.4,5942
492.29,2.377,-7.5,5948
491.92,2.382,-7.6,5953
491.56,2.391,-7.7,5958
491.21,2.393,-7.8,5962
490.86,2.39,-7.9,5968
490.51,2.39,-7.9,5975
490.16,2.39,-8,5980
489.8,2.393,-8,5983
489.42,2.404,-8.1,5989
489.03,2.408,-8.1,5996
488.63,2.396,-8.1,6003
488.22,2.391,-8.2,6011
487.82,2.39,-8.2,6019
487.43,2.39,-8.3,6024
487.05,2.389,-8.4,6031
486.69,2.386,-8.5,6035
486.35,2.379,-8.5,6041
486.02,2.373,-8.6,6047
485.7,2.358,-8.6,6051
485.39,2.343,-8.6,6055
485.1,2.337,-8.7,6060
484.81,2.33,-8.7,6065
484.53,2.324,-8.8,6070
484.26,2.321,-8.8,6074
483.99,2.296,-8.8,6079
483.73,2.258,-8.9,6083
483.47,2.231,-8.9,6085
483.21,2.214,-8.9,6089
482.93,2.211,-9,6094
482.65,2.21,-9,6098
482.35,2.209,-9,6103
482.05,2.207,-9,6108
481.74,2.201,-9,6114
481.43,2.179,-9,6120
481.12,2.149,-9.1,6125
480.81,2.123,-9.1,6129
480.5,2.103,-9.2,6132
480.18,2.098,-9.2,6136
479.84,2.095,-9.3,6143
479.5,2.093,-9.3,6150
479.14,2.09,-9.3,6156
478.78,2.072,-9.3,6161
478.41,2.037,-9.3,6167
478.05,2.014,-9.4,6173
477.69,2.01,-9.5,6181
477.34,1.998,-9.5,6187
476.99,1.993,-9.6,6192
476.65,1.987,-9.6,6194
476.3,1.98,-9.6,6200
475.96,1.977,-9.7,6206
475.6,1.968,-9.7,6212
475.25,1.959,-9.7,6220
474.9,1.948,-9.8,6226
474.55,1.918,-9.9,6231
474.21,1.918,-10,6234
473.86,1.916,-10,6240
473.52,1.903,-10.1,6247
473.18,1.88,-10.1,6253
472.84,1.88,-10.1,6258
472.51,1.879,-10.2,6264
472.19,1.868,-10.2,6269
471.87,1.844,-10.3,6274
471.56,1.839,-10.4,6280
471.26,1.835,-10.4,6284
470.95,1.835,-10.5,6288
470.65,1.836,-10.5,6293
470.35,1.836,-10.5,6297
470.04,1.833,-10.6,6303
469.74,1.828,-10.6,6309
469.43,1.828,-10.6,6314
469.13,1.828,-10.7,6319
468.83,1.828,-10.7,6324
468.53,1.819,-10.8,6328
468.23,1.818,-10.8,6333
467.92,1.818,-10.9,6338
467.61,1.818,-10.9,6343
467.29,1.818,-10.9,6348
466.96,1.816,-11,6353
466.62,1.812,-11,6360
466.27,1.812,-11.1,6365
465.92,1.821,-11.1,6370
465.56,1.822,-11.1,6377
465.19,1.823,-11.2,6383
464.82,1.818,-11.2,6389
464.45,1.812,-11.2,6395
464.07,1.811,-11.3,6402
463.7,1.811,-11.3,6409
463.32,1.817,-11.4,6415
462.96,1.819,-11.5,6420
462.59,1.819,-11.6,6426
462.23,1.819,-11.6,6433
461.87,1.819,-11.7,6438
461.51,1.823,-11.7,6444
461.14,1.832,-11.8,6450
460.77,1.836,-11.8,6455
460.39,1.836,-11.8,6462
460,1.836,-11.9,6469
459.62,1.836,-11.9,6476
459.24,1.836,-12,6483
458.86,1.829,-12,6488
458.49,1.821,-12.1,6495
458.12,1.819,-12.1,6501
457.75,1.819,-12.2,6506
457.37,1.819,-12.3,6511
457,1.819,-12.3,6518
456.62,1.826,-12.4,6526
456.25,1.832,-12.4,6533
455.88,1.832,-12.5,6540
455.53,1.832,-12.5,6545
455.19,1.833,-12.6,6550
454.85,1.834,-12.6,6555
454.52,1.834,-12.6,6560
454.18,1.834,-12.7,6565
453.85,1.832,-12.7,6571
453.52,1.83,-12.7,6577
453.19,1.832,-12.8,6585
452.87,1.835,-12.8,6590
452.57,1.84,-12.9,6595
452.28,1.847,-13,6598
452,1.847,-13,6604
451.73,1.847,-13,6608
451.46,1.847,-13,6611
451.17,1.847,-13,6616
450.88,1.847,-13,6620
450.57,1.846,-13,6625
450.24,1.843,-13,6631
449.9,1.837,-13.1,6638
449.56,1.827,-13.1,6645
449.21,1.826,-13.2,6651
448.85,1.825,-13.3,6658
448.5,1.821,-13.4,6662
448.15,1.821,-13.4,6667
447.78,1.82,-13.4,6673
447.4,1.816,-13.4,6679
447.01,1.816,-13.5,6687
446.61,1.816,-13.5,6694
446.21,1.813,-13.6,6702
445.8,1.807,-13.6,6708
445.4,1.802,-13.7,6717
445.02,1.802,-13.7,6723
444.65,1.803,-13.7,6730
444.29,1.803,-13.7,6736
443.95,1.807,-13.6,6740
443.6,1.826,-13.6,6744
443.25,1.834,-13.6,6750
442.88,1.841,-13.6,6756
442.51,1.849,-13.6,6762
442.12,1.879,-13.6,6771
441.72,1.892,-13.7,6779
441.33,1.911,-13.7,6785
440.94,1.912,-13.8,6792
440.57,1.912,-13.9,6799
440.22,1.912,-13.9,6805
439.89,1.912,-13.9,6812
439.58,1.917,-13.9,6816
439.28,1.917,-13.9,6821
438.99,1.917,-13.9,6826
438.7,1.918,-13.9,6830
438.41,1.918,-13.8,6834
438.12,1.938,-13.8,6839
437.81,1.94,-13.8,6845
437.5,1.95,-13.8,6850
437.18,1.978,-13.8,6856
436.85,1.98,-13.8,6863
436.52,1.984,-13.8,6869
436.18,1.985,-13.8,6875
435.85,2.011,-13.8,6879
435.53,2.043,-13.8,6885
435.2,2.088,-13.8,6892
434.87,2.17,-13.8,6896
434.55,2.228,-13.8,6903
434.23,2.279,-13.8,6908
433.91,2.314,-13.8,6914
433.59,2.329,-13.8,6920
433.27,2.338,-13.9,6924
432.94,2.352,-13.9,6930
432.6,2.385,-13.9,6935
432.25,2.419,-13.9,6941
431.88,2.467,-13.9,6947
431.5,2.496,-14,6955
431.09,2.515,-14,6962
430.67,2.538,-14,6970
430.23,2.559,-14,6977
429.78,2.566,-14.1,6986
429.34,2.584,-14.1,6993
428.9,2.597,-14.1,7002
428.47,2.614,-14.1,7011
428.06,2.631,-14.2,7019
427.67,2.64,-14.3,7026
427.3,2.644,-14.3,7032
426.96,2.647,-14.3,7037
426.63,2.648,-14.3,7042
426.31,2.65,-14.3,7047
426,2.666,-14.3,7054
425.68,2.68,-14.3,7058
425.37,2.688,-14.3,7063
425.05,2.699,-14.3,7069
424.72,2.709,-14.3,7076
424.4,2.727,-14.3,7081
424.07,2.741,-14.4,7089
423.74,2.742,-14.5,7095
423.42,2.746,-14.5,7100
423.1,2.751,-14.6,7105
422.79,2.756,-14.7,7109
422.49,2.763,-14.7,7116
422.19,2.774,-14.7,7122
421.89,2.791,-14.7,7127
421.6,2.809,-14.8,7133
421.32,2.818,-14.8,7138
421.04,2.837,-14.8,7140
420.77,2.855,-14.8,7146
420.5,2.87,-14.8,7152
420.22,2.875,-14.9,7156
419.95,2.879,-14.9,7161
419.66,2.904,-15,7166
419.37,2.95,-15,7171
419.06,2.987,-15.1,7176
418.75,3.033,-15.1,7182
418.42,3.058,-15.2,7188
418.09,3.063,-15.2,7195
417.76,3.065,-15.2,7201
417.43,3.071,-15.2,7208
417.1,3.076,-15.3,7214
416.77,3.079,-15.3,7219
416.45,3.083,-15.3,7223
416.12,3.088,-15.3,7230
415.8,3.101,-15.3,7236
415.47,3.112,-15.3,7243
415.15,3.118,-15.3,7249
414.83,3.138,-15.3,7254
414.51,3.145,-15.2,7259
414.2,3.147,-15.2,7266
413.9,3.147,-15.2,7272
413.61,3.147,-15.1,7277
413.31,3.146,-15.1,7282
413.03,3.138,-15.1,7287
412.74,3.138,-15.1,7291
412.45,3.136,-15.1,7297
412.16,3.13,-15.1,7302
411.87,3.125,-15.1,7308
411.58,3.106,-15.1,7313
411.28,3.101,-15.1,7319
410.98,3.025,-15,7325
410.68,2.993,-15,7330
410.37,2.972,-15,7334
410.06,2.97,-15,7340
409.74,2.967,-15,7346
409.42,2.963,-15,7354
409.09,2.949,-14.9,7361
408.77,2.933,-14.9,7365
408.44,2.93,-14.8,7370
408.11,2.932,-14.8,7377
407.77,2.943,-14.9,7383
407.44,2.944,-14.9,7390
407.1,2.944,-14.9,7397
406.77,2.944,-14.9,7402
406.44,2.944,-15,7408
406.11,2.962,-15,7415
405.78,2.986,-15.1,7420
405.45,3.013,-15.1,7427
405.13,3.045,-15.1,7433
404.8,3.07,-15.2,7438
404.48,3.094,-15.2,7445
404.15,3.139,-15.2,7451
403.81,3.148,-15.2,7457
403.48,3.148,-15.2,7463
403.14,3.148,-15.2,7469
402.8,3.148,-15.2,7478
402.46,3.148,-15.3,7483
402.12,3.141,-15.3,7489
401.78,3.138,-15.3,7494
401.43,3.136,-15.3,7501
401.08,3.132,-15.3,7508
400.73,3.125,-15.3,7516
400.38,3.115,-15.3,7523
400.03,3.104,-15.4,7529
399.69,3.097,-15.4,7536
399.35,3.09,-15.5,7542
399.03,3.072,-15.6,7548
398.7,3.05,-15.6,7553
398.38,3.023,-15.6,7559
398.07,2.993,-15.6,7564
397.75,2.97,-15.7,7572
397.43,2.95,-15.7,7579
397.11,2.937,-15.7,7585
396.8,2.932,-15.8,7588
396.48,2.929,-15.8,7594
396.17,2.927,-15.8,7601
395.85,2.925,-15.9,7608
395.53,2.924,-15.9,7614
395.21,2.924,-16,7621
394.89,2.925,-16,7626
394.58,2.925,-16.1,7632
394.26,2.926,-16.1,7638
393.93,2.929,-16.2,7642
393.61,2.929,-16.2,7649
393.28,2.931,-16.2,7657
392.95,2.936,-16.2,7665
392.63,2.94,-16.2,7671
392.32,2.942,-16.2,7676
392.01,2.953,-16.3,7681
391.71,2.981,-16.3,7686
391.42,3.006,-16.3,7693
391.14,3.035,-16.3,7699
390.85,3.046,-16.3,7703
390.56,3.067,-16.4,7708
390.27,3.122,-16.4,7713
389.97,3.157,-16.4,7719
389.65,3.17,-16.4,7725
389.33,3.179,-16.4,7732
389,3.179,-16.5,7738
388.66,3.177,-16.6,7746
388.31,3.167,-16.7,7753
387.97,3.161,-16.7,7759
387.62,3.14,-16.8,7766
387.28,3.072,-16.9,7771
386.94,3.071,-16.9,7778
386.6,3.064,-17,7786
386.27,3.037,-17,7792
385.95,2.946,-17.1,7799
385.64,2.877,-17.1,7806
385.35,2.825,-17.2,7811
385.06,2.797,-17.2,7817
384.77,2.745,-17.2,7820
384.48,2.619,-17.2,7825
384.19,2.594,-17.2,7831
383.89,2.589,-17.1,7837
383.58,2.584,-17,7843
383.25,2.574,-16.9,7851
382.93,2.558,-16.9,7857
382.6,2.535,-16.9,7865
382.27,2.467,-17,7870
381.93,2.436,-17.1,7875
381.59,2.411,-17.1,7883
381.24,2.399,-17.2,7888
380.89,2.395,-17.2,7896
380.53,2.39,-17.2,7904
380.17,2.39,-17.3,7912
379.83,2.388,-17.3,7919
379.49,2.349,-17.4,7925
379.17,2.331,-17.4,7933
378.86,2.318,-17.5,7938
378.57,2.311,-17.5,7943
378.3,2.303,-17.5,7950
378.05,2.302,-17.5,7956
377.82,2.302,-17.6,7958
377.6,2.303,-17.6,7962
377.38,2.303,-17.6,7967
377.17,2.303,-17.6,7970
376.96,2.315,-17.6,7974
376.75,2.321,-17.6,7979
376.53,2.322,-17.5,7982
376.3,2.328,-17.5,7986
376.07,2.335,-17.5,7992
375.82,2.341,-17.4,7996
375.57,2.396,-17.4,8002
375.31,2.431,-17.4,8008
375.06,2.466,-17.4,8013
374.8,2.485,-17.4,8019
374.55,2.505,-17.5,8024
374.3,2.545,-17.5,8028
374.05,2.587,-17.6,8033
373.8,2.672,-17.6,8036
373.54,2.721,-17.6,8041
373.27,2.748,-17.6,8047
372.99,2.792,-17.6,8053
372.71,2.849,-17.6,8060
372.44,2.874,-17.7,8066
372.17,2.88,-17.7,8072
371.91,2.892,-17.7,8077
371.67,2.912,-17.8,8082
371.45,2.928,-17.8,8086
371.23,2.936,-17.8,8089
371.01,2.947,-17.8,8093
370.8,2.967,-17.8,8097
370.58,2.995,-17.8,8100
370.35,3.011,-17.8,8106
370.11,3.011,-17.8,8111
369.86,3.011,-17.8,8117
369.6,3.012,-17.9,8122
369.34,3.012,-18,8128
369.08,3.014,-18.1,8133
368.81,3.018,-18.1,8138
368.54,3.018,-18.2,8144
368.27,3.01,-18.2,8148
367.99,2.997,-18.3,8153
367.7,3.002,-18.3,8160
367.41,3.014,-18.3,8167
367.11,3.022,-18.3,8173
366.82,3.022,-18.3,8178
366.52,3.02,-18.4,8185
366.22,3.013,-18.5,8190
365.91,3.011,-18.5,8196
365.6,3.011,-18.6,8202
365.28,3.011,-18.6,8209
364.96,3.011,-18.7,8214
364.62,3.009,-18.7,8223
364.29,3.004,-18.8,8232
363.95,3,-18.8,8239
363.62,2.996,-18.8,8243
363.29,2.992,-18.9,8248
362.97,2.988,-19,8257
362.65,2.981,-19,8266
362.34,2.98,-19.1,8273
362.05,2.981,-19.1,8277
361.77,2.983,-19.2,8283
361.49,2.991,-19.2,8286
361.22,2.998,-19.3,8292
360.95,3.002,-19.3,8299
360.67,3.02,-19.3,8304
360.4,3.021,-19.3,8310
360.11,3.037,-19.4,8316
359.82,3.051,-19.5,8320
359.52,3.037,-19.5,8326
359.2,3.037,-19.6,8333
358.87,3.037,-19.6,8340
358.53,3.037,-19.7,8348
358.18,3.043,-19.7,8356
357.82,3.044,-19.8,8362
357.45,3.044,-19.8,8370
357.09,3.043,-19.9,8378
356.72,3.038,-20,8387
356.36,3.038,-20,8394
356.01,3.021,-20.1,8402
355.67,3.02,-20.2,8409
355.34,3.02,-20.2,8416
355.02,3.019,-20.3,8422
354.71,3.018,-20.3,8428
354.41,3.019,-20.4,8435
354.11,3.03,-20.4,8441
353.82,3.032,-20.5,8447
353.53,3.04,-20.6,8453
353.23,3.041,-20.6,8458
352.94,3.049,-20.6,8464
352.63,3.042,-20.6,8470
352.32,3.048,-20.7,8477
352,3.05,-20.7,8483
351.67,3.051,-20.8,8491
351.34,3.051,-20.8,8498
351,3.056,-20.9,8506
350.66,3.073,-21,8514
350.33,3.08,-21.1,8520
350.01,3.08,-21.2,8528
349.7,3.091,-21.2,8533
349.4,3.107,-21.2,8541
349.11,3.125,-21.2,8547
348.82,3.145,-21.3,8550
348.53,3.152,-21.3,8556
348.23,3.152,-21.4,8563
347.92,3.152,-21.4,8570
347.61,3.143,-21.4,8577
347.29,3.134,-21.4,8584
346.97,3.132,-21.4,8591
346.65,3.132,-21.4,8599
346.33,3.132,-21.5,8604
346.02,3.131,-21.5,8611
345.72,3.13,-21.6,8618
345.41,3.13,-21.6,8623
345.12,3.128,-21.6,8631
344.82,3.125,-21.7,8638
344.53,3.123,-21.7,8644
344.24,3.123,-21.8,8648
343.95,3.123,-21.8,8654
343.67,3.117,-21.8,8661
343.38,3.104,-21.8,8667
343.08,3.09,-21.9,8673
342.79,3.076,-21.9,8679
342.49,3.066,-22,8687
342.2,3.054,-22,8694
341.9,3.023,-22.1,8700
341.61,2.987,-22.1,8704
341.33,2.977,-22.1,8711
341.05,2.953,-22.2,8719
340.78,2.91,-22.2,8724
340.51,2.866,-22.3,8729
340.24,2.832,-22.3,8734
339.98,2.828,-22.4,8741
339.71,2.821,-22.4,8746
339.44,2.81,-22.5,8752
339.17,2.809,-22.5,8757
338.88,2.801,-22.5,8763
338.58,2.779,-22.6,8769
338.28,2.742,-22.6,8777
337.97,2.712,-22.6,8784
337.66,2.689,-22.7,8791
337.35,2.656,-22.8,8799
337.05,2.622,-22.9,8804
336.76,2.58,-23,8812
336.48,2.552,-23.1,8818
336.2,2.539,-23.1,8822
335.93,2.516,-23.1,8828
335.65,2.511,-23.2,8834
335.38,2.48,-23.2,8839
335.11,2.442,-23.2,8846
334.83,2.438,-23.2,8852
334.54,2.436,-23.3,8859
334.25,2.433,-23.4,8865
333.96,2.41,-23.5,8870
333.66,2.397,-23.5,8878
333.35,2.392,-23.5,8885
333.05,2.372,-23.6,8890
332.74,2.341,-23.7,8898
332.43,2.326,-23.7,8907
332.12,2.319,-23.8,8914
331.82,2.303,-23.8,8917
331.51,2.273,-23.9,8924
331.21,2.243,-23.9,8930
330.9,2.231,-24,8938
330.59,2.202,-24,8948
330.29,2.171,-24.1,8954
330,2.149,-24.1,8957
329.72,2.126,-24.1,8966
329.44,2.123,-24.1,8973
329.17,2.108,-24.1,8977
328.9,2.083,-24,8983
328.64,2.019,-24,8988
328.37,1.996,-24,8993
328.09,1.988,-24,8998
327.8,1.987,-24,9007
327.51,1.969,-24.1,9015
327.21,1.91,-24.1,9021
326.91,1.852,-24.2,9025
326.6,1.841,-24.2,9033
326.29,1.829,-24.3,9040
325.96,1.805,-24.3,9047
325.63,1.77,-24.3,9055
325.28,1.74,-24.4,9062
324.93,1.728,-24.5,9070
324.58,1.72,-24.6,9079
324.22,1.703,-24.6,9089
323.85,1.681,-24.7,9095
323.49,1.671,-24.8,9101
323.14,1.668,-24.9,9113
322.78,1.648,-25,9120
322.44,1.614,-25.1,9129
322.1,1.595,-25.1,9136
321.78,1.59,-25.2,9143
321.46,1.58,-25.2,9150
321.16,1.556,-25.3,9158
320.86,1.539,-25.4,9163
320.57,1.532,-25.4,9169
320.28,1.527,-25.5,9176
320,1.514,-25.6,9182
319.71,1.5,-25.6,9188
319.42,1.496,-25.6,9196
319.13,1.494,-25.7,9201
318.83,1.483,-25.7,9209
318.53,1.467,-25.8,9215
318.21,1.461,-25.8,9221
317.88,1.458,-25.9,9229
317.55,1.456,-26,9237
317.2,1.453,-26,9245
316.86,1.451,-26,9254
316.51,1.448,-26.1,9263
316.17,1.431,-26.1,9271
315.85,1.403,-26.2,9279
315.53,1.392,-26.3,9284
315.23,1.392,-26.4,9292
314.94,1.391,-26.5,9300
314.65,1.391,-26.5,9306
314.36,1.391,-26.6,9309
314.07,1.389,-26.6,9315
313.78,1.385,-26.6,9322
313.47,1.376,-26.6,9331
313.17,1.365,-26.7,9339
312.87,1.362,-26.8,9345
312.57,1.362,-26.9,9355
312.29,1.36,-26.9,9361
312.01,1.353,-27,9365
311.75,1.353,-27,9372
311.49,1.353,-27.1,9378
311.24,1.352,-27.1,9382
310.99,1.353,-27.2,9388
310.74,1.351,-27.2,9393
310.48,1.35,-27.2,9400
310.22,1.35,-27.2,9407
309.95,1.351,-27.2,9413
309.68,1.35,-27.3,9419
309.41,1.349,-27.4,9426
309.14,1.35,-27.5,9432
308.86,1.351,-27.6,9438
308.58,1.352,-27.6,9443
308.29,1.359,-27.7,9449
308,1.358,-27.7,9457
307.7,1.351,-27.8,9466
307.41,1.351,-27.8,9473
307.12,1.351,-27.9,9480
306.84,1.359,-28,9486
306.56,1.359,-28.1,9492
306.28,1.36,-28.2,9499
306,1.368,-28.2,9504
305.72,1.368,-28.3,9509
305.43,1.368,-28.3,9516
305.13,1.368,-28.4,9524
304.82,1.368,-28.5,9533
304.5,1.368,-28.5,9540
304.18,1.368,-28.5,9548
303.86,1.368,-28.6,9555
303.55,1.367,-28.7,9562
303.24,1.365,-28.9,9571
302.93,1.359,-29,9580
302.64,1.359,-29,9586
302.35,1.359,-29.1,9591
302.07,1.362,-29.1,9597
301.79,1.367,-29.2,9603
301.52,1.368,-29.2,9610
301.24,1.368,-29.2,9617
300.97,1.368,-29.3,9623
300.69,1.369,-29.4,9631
300.43,1.369,-29.5,9639
300.17,1.371,-29.6,9644
299.91,1.374,-29.7,9648
299.65,1.377,-29.7,9653
299.39,1.374,-29.7,9659
299.12,1.372,-29.8,9666
298.84,1.373,-29.8,9674
298.55,1.377,-29.9,9681
298.26,1.379,-30,9688
297.96,1.38,-30.1,9695
297.65,1.379,-30.1,9701
297.34,1.379,-30.2,9709
297.02,1.383,-30.2,9717
296.7,1.384,-30.3,9725
296.38,1.383,-30.4,9732
296.06,1.382,-30.4,9741
295.75,1.382,-30.5,9751
295.44,1.382,-30.6,9756
295.14,1.382,-30.7,9763
294.85,1.382,-30.8,9770
294.56,1.38,-30.8,9778
294.27,1.377,-30.8,9784
293.98,1.373,-30.8,9789
293.69,1.369,-30.9,9795
293.4,1.367,-31,9803
293.1,1.366,-31.1,9814
292.81,1.363,-31.2,9821
292.52,1.362,-31.3,9828
292.24,1.363,-31.3,9831
291.96,1.364,-31.4,9839
291.68,1.364,-31.4,9846
291.41,1.361,-31.4,9853
291.13,1.36,-31.4,9861
290.86,1.361,-31.5,9865
290.59,1.364,-31.4,9873
290.32,1.371,-31.4,9879
290.04,1.376,-31.3,9886
289.77,1.376,-31.3,9893
289.5,1.38,-31.2,9900
289.22,1.386,-31.3,9906
288.95,1.386,-31.3,9913
288.69,1.386,-31.3,9920
288.42,1.386,-31.4,9926
288.17,1.386,-31.4,9933
287.92,1.388,-31.5,9940
287.67,1.392,-31.6,9945
287.43,1.392,-31.6,9949
287.17,1.393,-31.7,9954
286.91,1.402,-31.7,9961
286.65,1.422,-31.7,9969
286.37,1.422,-31.8,9976
286.08,1.422,-31.9,9982
285.79,1.422,-32,9991
285.49,1.424,-32,9998
285.19,1.43,-32.1,10006
284.89,1.428,-32.2,10012
284.59,1.422,-32.2,10020
284.3,1.419,-32.3,10028
284.01,1.419,-32.4,10036
283.72,1.424,-32.4,10044
283.44,1.428,-32.5,10049
283.16,1.43,-32.6,10054
282.87,1.43,-32.7,10061
282.57,1.43,-32.7,10069
282.27,1.431,-32.8,10078
281.97,1.435,-32.9,10086
281.67,1.435,-32.9,10094
281.37,1.435,-33,10102
281.08,1.435,-33.1,10109
280.79,1.436,-33.1,10115
280.51,1.436,-33.2,10123
280.22,1.435,-33.2,10129
279.94,1.435,-33.3,10134
279.65,1.435,-33.3,10142
279.36,1.435,-33.4,10151
279.07,1.435,-33.5,10159
278.79,1.44,-33.6,10167
278.5,1.44,-33.6,10173
278.21,1.436,-33.7,10179
277.92,1.443,-33.8,10185
277.63,1.444,-33.9,10194
277.33,1.444,-33.9,10202
277.03,1.444,-34,10209
276.72,1.444,-34.1,10217
276.42,1.438,-34.2,10225
276.12,1.443,-34.2,10234
275.82,1.444,-34.3,10243
275.54,1.444,-34.4,10248
275.26,1.447,-34.5,10254
274.98,1.448,-34.5,10262
274.71,1.448,-34.6,10269
274.43,1.449,-34.7,10275
274.16,1.454,-34.7,10281
273.88,1.456,-34.8,10287
273.6,1.456,-34.9,10297
273.32,1.451,-35,10305
273.04,1.449,-35,10313
272.77,1.449,-35.1,10319
272.5,1.449,-35.1,10324
272.23,1.447,-35.2,10329
271.96,1.445,-35.3,10337
271.68,1.443,-35.3,10345
271.39,1.443,-35.3,10353
271.11,1.443,-35.4,10360
270.83,1.443,-35.5,10369
270.55,1.443,-35.5,10376
270.27,1.443,-35.6,10383
270,1.443,-35.7,10389
269.73,1.443,-35.8,10396
269.46,1.443,-35.8,10403
269.19,1.445,-35.9,10409
268.92,1.446,-36,10414
268.64,1.445,-36,10423
268.36,1.443,-36.1,10431
268.08,1.436,-36.1,10440
267.81,1.431,-36.2,10447
267.54,1.433,-36.3,10454
267.28,1.434,-36.4,10459
267.01,1.434,-36.4,10466
266.75,1.434,-36.5,10472
266.48,1.434,-36.5,10478
266.2,1.436,-36.6,10485
265.91,1.438,-36.6,10493
265.61,1.438,-36.7,10503
265.31,1.438,-36.7,10511
265.02,1.438,-36.8,10519
