Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37643, 23.18603, 87.41383030478067
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 11:59:57
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:48 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
  140.19 12 02 17.18  914.00   25.71   20.07   71.04    3.95   -1.65    4.63  286.04    7.32      921  120.380758   23.183652   927.35 
  141.80 12 02 18.79  913.00   25.65   20.08   71.36    2.17   -3.97    4.54  333.12    5.64      930  120.380806   23.183588   937.82 
  143.32 12 02 20.31  912.00   25.57   20.04   71.53    4.27   -0.84    4.51  274.79    6.16      940  120.380833   23.183567   947.94 
  145.00 12 02 22.00  911.00   25.48   20.02   71.80    2.40   -1.57    2.87  303.24    5.78      949  120.380900   23.183540   957.57 
  146.50 12 02 23.49  910.00   25.40   19.99   72.00    2.04   -2.56    3.53  332.28    6.03      958  120.380910   23.183505   968.59 
  148.17 12 02 25.17  909.00   25.31   19.97   72.32    3.18   -0.72    3.45  281.04    5.67      968  120.380953   23.183488   978.65 
  149.66 12 02 26.65  908.00   25.19   19.91   72.53    3.22   -3.89    5.05  320.31    6.61      977  120.380983   23.183454   988.03 
  151.25 12 02 28.24  907.00   25.12   19.91   72.85    2.08   -2.06    2.93  316.83    5.56      986  120.381027   23.183415   995.67 
  152.87 12 02 29.86  906.00   25.02   19.88   73.17    1.26   -1.09    1.66  311.51    5.90      996  120.381067   23.183383  1002.94 
  154.30 12 02 31.29  905.00   24.95   19.84   73.33    2.54   -3.35    4.22  322.17    6.66     1005  120.381096   23.183351  1010.74 
  155.71 12 02 32.70  904.00   24.85   19.79   73.47    2.75   -3.69    4.62  322.28    6.58     1014  120.381131   23.183309  1019.55 
  157.37 12 02 34.36  903.00   24.75   19.77   73.87   -0.05   -1.87    2.32  226.47    5.46     1024  120.381123   23.183276  1030.02 
  159.03 12 02 36.03  902.00   24.67   19.77   74.21    1.07   -2.56    2.78  337.00    5.59     1033  120.381120   23.183260  1040.41 
  160.62 12 02 37.62  901.00   24.60   19.76   74.46    0.75   -2.45    2.63  338.85    6.09     1042  120.381136   23.183248  1050.82 
  162.16 12 02 39.15  900.00   24.53   19.75   74.72    0.72   -3.04    3.13  347.31    6.09     1052  120.381150   23.183208  1060.90 
  163.74 12 02 40.74  899.00   24.45   19.71   74.95    0.11    2.51    2.88  225.64    6.08     1061  120.381143   23.183215  1070.91 
  165.25 12 02 42.25  898.00   24.38   19.71   75.23    1.58    1.66    2.78  223.66    6.31     1071  120.381165   23.183237  1081.16 
  166.67 12 02 43.66  897.00   24.30   19.66   75.37    1.97   -0.81    2.17  295.26    6.64     1080  120.381180   23.183223  1091.36 
  168.22 12 02 45.21  896.00   24.23   19.66   75.66    2.94   -1.03    3.26  286.60    6.03     1090  120.381196   23.183216  1101.01 
  169.75 12 02 46.75  895.00   24.13   19.64   76.05    2.21   -1.89    2.92  309.20    5.75     1099  120.381235   23.183185  1110.75 
  171.20 12 02 48.19  894.00   24.05   19.56   76.02    3.90    1.79    4.69  246.06    6.68     1109  120.381268   23.183200  1119.21 
  172.98 12 02 49.97  893.00   23.92   19.52   76.39    2.32   -3.71    4.39  328.02    5.43     1118  120.381320   23.183171  1130.77 
  174.95 12 02 51.95  892.00   23.82   19.48   76.70    3.46   -2.30    4.19  304.53    4.29     1127  120.381329   23.183131  1142.98 
