GPHeight,Pressure,O3PartialPressure,Temperature
9800,279.53999999999996,2.4583333333333335,-47.57166666666667
9900,275.3633333333333,2.7066666666666666,-48.13
10000,271.19714285714286,2.8042857142857143,-48.527142857142856
10100,267.09000000000003,2.9014285714285717,-48.35142857142857
10200,263.072,3.136,-48.384
10300,259.11454545454546,3.4145454545454546,-48.38545454545454
10400,255.185,3.5300000000000002,-49.3
10500,251.316,3.688,-49.46
10600,247.49666666666667,3.8633333333333333,-49.83333333333333
10700,243.732,3.94,-50.578
10800,240.025,3.9516666666666667,-51.015
10900,236.37666666666667,4.086666666666667,-50.47
11000,232.7566666666667,4.056666666666667,-51.03666666666666
11100,229.1977777777778,3.96,-51.63666666666666
11200,225.695,3.885,-51.724999999999994
11300,222.22666666666666,3.88,-52.303333333333335
11400,218.832,3.91,-52.448
11500,215.45833333333334,3.9833333333333334,-52.330000000000005
11600,212.158,4.182,-52.208
11700,208.906,4.25,-52.666000000000004
11800,205.67,4.32,-52.76
11900,202.5375,4.46,-52.67
12000,199.405,4.44,-52.575
12100,196.33,4.52,-52.57
12200,193.32,4.6,-52.39
12300,190.35666666666668,4.6433333333333335,-51.77
12400,187.4575,4.577500000000001,-50.9025
12500,184.59333333333333,4.65,-50.96
12600,181.778,4.7860000000000005,-50.702
12700,179.005,5.198333333333333,-50.556666666666665
12800,176.282,5.35,-51.094
12900,173.59,5.52,-51.265
13000,170.928,5.556,-50.896
13100,168.32333333333335,5.363333333333333,-51.446666666666665
13200,165.73714285714286,5.32,-52.02428571428572
13300,163.2,5.11,-51.84
13400,160.69333333333333,4.993333333333333,-52.22
13500,158.242,4.892,-52.294000000000004
13600,155.796,4.66,-52.498
13700,153.40800000000002,4.61,-52.96
13800,151.04,4.645,-53.355000000000004
13900,148.715,4.76,-53.28
14000,146.43,4.77,-52.81
14100,144.15857142857143,4.79,-53.13428571428572
14200,141.94,4.75,-53.53
14300,139.756,4.78,-53.565999999999995
14400,137.595,4.9350000000000005,-53.355000000000004
14500,135.47,5.08,-53.41
14600,133.38666666666666,5.0,-53.836666666666666
14700,131.3275,5.2925,-53.182500000000005
14800,129.29250000000002,5.7275,-53.68
14900,127.31,5.924,-54.0
15000,125.33333333333334,5.986666666666667,-54.82
15100,123.39,5.87,-55.23
15200,121.47,5.636666666666667,-55.38166666666667
15300,119.57166666666667,5.751666666666667,-55.56333333333333
15400,117.7,6.01,-55.974000000000004
15500,115.86166666666666,5.808333333333333,-56.35166666666667
15600,114.05714285714286,5.92,-56.15571428571428
15700,112.2825,5.88,-55.9475
15800,110.518,5.852,-56.24
15900,108.8,5.71,-56.3
16000,107.092,5.59,-56.01
16100,105.42399999999999,5.843999999999999,-56.106
16200,103.77166666666668,5.793333333333333,-56.806666666666665
16300,102.14,5.833333333333333,-56.38666666666667
16400,100.55,6.15,-55.97
16500,98.97,6.27,-56.81
16600,97.42666666666666,6.43,-56.586666666666666
16700,95.902,6.56,-56.27
16800,94.41,6.76,-55.94
16900,92.93,6.9,-54.88
