GPHeight,Pressure,O3PartialPressure,Temperature
24400,21.977777777777778,6.136111111111111,-75.1
24500,21.6,6.066,-74.63333333333333
24600,21.2,5.84725,-74.2
24700,20.9,5.7174000000000005,-73.42
24800,20.5,5.4452,-72.72
24900,20.15,5.263999999999999,-72.35
25000,19.8,5.1652,-72.3
25100,19.5,5.06325,-72.6
25200,19.16,5.0332,-72.8
25300,18.8,4.9515,-73.1
25400,18.5,4.825,-73.3
25500,18.2,4.684666666666667,-73.33333333333333
25600,17.9,4.7002,-73.4
25700,17.6,4.728400000000001,-73.3
25800,17.3,4.667,-73.3
25900,17.0,4.6808,-73.3
26000,16.7,4.6267499999999995,-73.4
26100,16.4,4.557,-73.3
26200,16.1,4.551,-73.3
26300,15.9,4.336,-73.5
26400,15.6,4.245,-73.9
26500,15.3,4.0633333333333335,-74.4
26600,15.1,4.026,-74.7
26700,14.8,3.87275,-74.7
26800,14.6,3.8548,-74.4
26900,14.3,3.716,-73.7
27000,14.1,3.691,-72.9
27100,13.8,3.6123333333333334,-72.2
27200,13.6,3.5924,-71.9
27300,13.4,3.5534000000000003,-72.06
27400,13.149999999999999,3.545,-72.5
27500,12.9,3.479,-73.0
27600,12.7,3.3464,-73.3
27700,12.6,3.26,-73.2
27800,12.6,3.26,-73.2
