id,name
622,子龍里
623,巷口里
624,東角里
625,晋江里
626,中興里
627,油車里
628,清水里
629,寮廍里
630,埤頭里
631,海埔里
632,港尾里
633,麻口里
634,安業里
635,謝厝寮里
636,安正里
637,井東里
638,官田里
639,二鎮里
640,烏山頭里
641,大崎里
642,隆田里
643,隆本里
644,南廍里
645,東西庄里
646,渡拔里
647,社子里
648,東關里
649,坐駕里
650,光文里
651,南關里
652,頂街里
653,文正里
654,胡家里
655,胡厝里
656,什乃里
657,溪美里
658,六分里
659,六德里
660,田寮里
661,昌隆里
662,牛庄里
663,嘉北里
664,嘉南里
665,小新里
666,蓮潭里
667,石湖里
668,石林里
669,石城里
670,內江里
671,大內里
672,內郭里
673,頭社里
674,環湖里
675,二溪里
676,曲溪里
677,玉井里
678,玉田里
679,竹圍里
680,沙田里
681,三埔里
682,望明里
683,層林里
684,豐里里
685,楠西里
686,灣丘里
687,密枝里
688,照興里
689,鹿田里
690,龜丹里
691,東勢里
692,西港里
693,慶安里
694,南海里
695,港東里
696,檨林里
697,後營里
698,營西里
699,金砂里
700,劉厝里
701,永樂里
702,新復里
703,蘇林里
704,蘇厝里
705,安定里
706,安加里
707,中榮里
708,港口里
709,港南里
710,嘉同里
711,中沙里
712,新吉里
713,海寮里
714,文科里
715,明和里
716,南洲里
717,山上里
718,新莊里
719,玉峯里
720,平陽里
721,豐德里
722,光和里
723,榮和里
724,左鎮里
725,睦光里
726,內庄里
727,岡林里
728,草山里
729,二寮里
730,澄山里
731,南化里
732,小崙里
733,東和里
734,西埔里
735,中坑里
736,北平里
737,北寮里
738,關山里
739,南里
740,州南里
741,州北里
742,安順里
743,新順里
744,安慶里
745,溪北里
746,安和里
747,溪頂里
748,安東里
749,鳳凰里
750,梅花里
751,理想里
752,海東里
753,大安里
754,原佃里
755,公親里
756,布袋里
757,總頭里
758,學東里
759,公里
760,佃東里
761,佃西里
762,淵西里
763,海西里
764,溪心里
765,淵東里
766,淵中里
767,溪墘里
768,海佃里
769,國安里
770,溪東里
771,安富里
772,幸福里
773,海南里
774,城東里
775,青草里
776,城中里
777,砂崙里
778,媽祖宮里
779,鹿耳里
780,四草里
781,塩田里
782,開元里
783,元寶里
784,合興里
785,力行里
786,重興里
787,東興里
788,長勝里
789,振興里
790,中樓里
791,永祥里
792,大興里
793,北華里
794,長興里
795,小北里
796,正覺里
797,成功里
798,華德里
799,成德里
800,和順里
801,立人里
802,雙安里
803,文成里
804,元美里
805,文元里
806,大和里
807,大港里
808,大豐里
809,賢北里
810,新市里
811,新和里
812,社內里
813,豐華里
814,三舍里
815,大營里
816,大社里
817,潭頂里
818,港墘里
819,永就里
820,五王里
821,三合里
822,六合里
823,網寮里
824,二王里
825,永康里
826,埔園里
827,龍埔里
828,正強里
829,大橋里
830,東橋里
831,西橋里
832,安康里
833,蔦松里
834,三民里
835,塩行里
836,塩興里
837,塩洲里
838,甲頂里
839,尚頂里
840,龍潭里
841,永明里
842,王行里
843,烏竹里
844,西勢里
845,新樹里
846,東灣里
847,西灣里
848,崑山里
849,北灣里
850,復興里
851,光復里
852,復國里
853,復華里
854,神洲里
855,中華里
856,武安里
857,東榮里
858,護國里
859,太平里
860,協興里
861,唪口里
862,全興里
863,崙頂里
864,知義里
865,山脚里
866,大坑里
867,𦰡拔里
868,羊林里
869,礁坑里
870,文平里
871,建平里
872,怡平里
873,華平里
874,平通里
875,億載里
876,育平里
877,國平里
878,漁光里
879,平安里
880,天妃里
881,王城里
882,金城里
883,赤嵌里
884,郡王里
885,法華里
886,開山里
887,永華里
888,藥王里
889,光賢里
890,大涼里
891,西湖里
892,西賢里
893,城隍里
894,南美里
895,南門里
896,小西門里
897,五條港里
898,兌悅里
899,淺草里
900,府前里
901,南廠里
902,西和里
903,大恩里
904,大忠里
905,竹溪里
906,明德里
907,大成里
908,再興里
909,廣州里
910,新昌里
911,文華里
912,文南里
913,金華里
914,國宅里
915,鹽埕里
916,光明里
917,明亮里
918,府南里
919,明興里
920,郡南里
921,南都里
922,南華里
923,開南里
924,彰南里
925,喜北里
926,喜南里
927,喜東里
928,省躬里
929,永寧里
930,松安里
931,佛壇里
932,同安里
933,崇信里
934,崇學里
935,大學里
936,成大里
937,東門里
938,圍下里
939,中西里
940,東安里
941,忠孝里
942,大福里
943,大德里
944,路東里
945,泉南里
946,德光里
947,崇德里
948,崇善里
949,崇成里
950,崇文里
951,東智里
952,大智里
953,德高里
954,仁和里
955,和平里
956,虎尾里
957,裕聖里
958,自強里
959,東聖里
960,關聖里
961,南聖里
962,文聖里
963,後甲里
964,東明里
965,莊敬里
966,小東里
967,崇誨里
968,衛國里
969,裕農里
970,富強里
971,富裕里
972,崇明里
973,太子里
974,一甲里
975,仁德里
976,新田里
977,上崙里
978,文賢里
979,保安里
980,二行里
981,大甲里
982,南保里
983,歸南里
984,後市里
985,文化里
986,辜厝里
987,新厝里
988,許厝里
989,看西里
990,看東里
991,沙崙里
992,武東里
993,歸仁里
994,八甲里
995,媽廟里
996,大廟里
997,關廟里
998,山西里
999,香洋里
1000,新埔里
1001,新光里
1002,五甲里
1003,松腳里
1004,花園里
1005,深坑里
1006,龜洞里
1007,下湖里
1008,崎頂里
1009,土崎里
1010,楠坑里
1011,大坪里
1012,石𥕢里
1013,龍船里
1014,牛埔里
1015,麥豐村
1016,麥津村
1017,興華村
1018,海豐村
1019,後安村
1020,中興村
1021,三盛村
1022,崙後村
1023,橋頭村
1024,新吉村
1025,施厝村
1026,雷厝村
1027,台西村
1028,海南村
1029,海北村
1030,山寮村
1031,溪頂村
1032,牛厝村
1033,泉州村
1034,五榔村
1035,光華村
1036,五港村
1037,富琦村
1038,和豐村
1039,蚊港村
1040,月眉村
1041,嘉隆村
1042,東南村
1043,東北村
1044,程海村
1045,昌南村
1046,安南村
1047,四美村
1048,新坤村
1049,中民村
1050,埔姜村
1051,中勝村
1052,馬鳴村
1053,新湖村
1054,有才村
1055,龍岩村
1056,忠正里
1057,順天里
1058,宮北里
1059,越港里
1060,溪邊里
1061,石廟里
1062,興新里
1063,奮起里
1064,埤腳里
1065,後埔里
1066,崙內里
1067,大荖里
1068,東平里
1069,西平里
1070,新庄里
1071,東仁里
1072,公安里
1073,德興里
1074,中山里
1075,西安里
1076,立仁里
1077,興南里
1078,穎川里
1079,延平里
1080,埒內里
1081,堀頭里
1082,安溪里
1083,興中里
1084,廉使里
1085,惠來里
1086,頂溪里
1087,中溪里
1088,下溪里
1089,東屯里
1090,西屯里
1091,芳草里
1092,墾地里
1093,北溪里
1094,四湖村
1095,湖西村
1096,溪底村
1097,鹿場村
1098,蔡厝村
1099,湖寮村
1100,施湖村
1101,羊調村
1102,內湖村
1103,飛東村
1104,飛沙村
1105,三姓村
1106,崙北村
1107,崙南村
1108,廣溝村
1109,萡子村
1110,萡東村
1111,林厝村
1112,林東村
1113,溪尾村
1114,長南村
1115,長北村
1116,子茂村
1117,後湖村
1118,山內村
1119,合和村
1120,五塊村
1121,潭西村
1122,潭東村
1123,客厝村
1124,卓運村
1125,頂寮村
1126,下寮村
1127,西莊村
1128,鹿北村
1129,鹿南村
1130,崙仔村
1131,口湖村
1132,湖東村
1133,頂湖村
1134,埔南村
1135,埔北村
1136,謝厝村
1137,蚵寮村
1138,下崙村
1139,崙中村
1140,崙東村
1141,青蚶村
1142,台子村
1143,成龍村
1144,梧南村
1145,梧北村
1146,水井村
1147,後厝村
1148,湖口村
1149,過港村
1150,水北村
1151,水南村
1152,萬興村
1153,尖山村
1154,大溝村
1155,順興村
1156,大山村
1157,後寮村
1158,春埔村
1159,西井村
1160,車港村
1161,蘇秦村
1162,灣東村
1163,灣西村
1164,蕃薯村
1165,山腳村
1166,松北村
1167,松中村
1168,松西村
1169,瓊埔村
1170,塭底村
1171,海埔村
1172,土厝村
1173,溪墘村
1174,東陽里
1175,光民里
1176,東華里
1177,南安里
1178,中和里
1179,義民里
1180,共榮里
1181,賜福里
1182,公舘里
1183,仁安里
1184,華勝里
1185,扶朝里
1186,水埔里
1187,後溝里
1188,府番里
1189,草湖里
1190,溝皂里
1191,番溝里
1192,大北里
1193,好收里
1194,樹腳里
1195,東明村
1196,西榮村
1197,南陽村
1198,崙前村
1199,羅厝村
1200,港尾村
1201,阿勸村
1202,五魁村
1203,大有村
1204,豐榮村
1205,草湖村
1206,水尾村
1207,枋南村
1208,崙西村
1209,來惠村
1210,湳仔村
1211,田尾村
1212,定安村
1213,永定村
1214,大華村
1215,義庄村
1216,楊賢村
1217,港後村
1218,大義村
1219,油車村
1220,庄西村
1221,大園里
1222,廣福里
1223,正興里
1224,福興里
1225,漢光里
1226,新安里
1227,新豐里
1228,大新里
1229,鹿場里
1230,頂湳里
1231,吳厝里
1232,九隆里
1233,下湳里
1234,七座里
1235,詔安里
1236,河南里
1237,福田里
1238,莿桐村
1239,甘厝村
1240,甘西村
1241,興桐村
1242,義和村
1243,埔子村
1244,大美村
1245,埔尾村
1246,興貴村
1247,饒平村
1248,四合村
1249,麻園村
1250,五華村
1251,六合村
1252,林南村
1253,林中村
1254,林北村
1255,坪頂村
1256,林茂村
1257,九芎村
1258,湖本村
1259,烏塗村
1260,烏麻村
1261,重興村
1262,信義里
1263,四維里
1264,光興里
1265,鎮西里
1266,鎮東里
1267,三平里
1268,鎮北里
1269,公誠里
1270,八德里
1271,公正里
1272,重光里
1273,林頭里
1274,鎮南里
1275,社口里
1276,嘉東里
1277,崙峯里
1278,溝埧里
1279,江厝里
1280,久安里
1281,正心里
1282,虎溪里
1283,保庄里
1284,長平里
1285,榴中里
1286,榴北里
1287,榴南里
1288,梅林里
1289,湖山里
1290,溪洲里
1291,十三里
1292,北和村
1293,吉田村
1294,豐岡村
1295,聯美村
1296,大德村
1297,松竹村
1298,尚義村
1299,嘉興村
1300,三結村
1301,怡然村
1302,北鎮村
1303,西鎮村
1304,西岐里
1305,南昌里
1306,北銘里
1307,中天里
1308,林子里
1309,石龜里
1310,石溪里
1311,靖興里
1312,阿丹里
1313,舊社里
1314,明昌里
1315,僑真里
1316,大東里
1317,埤麻里
1318,西伯里
1319,新崙里
1320,田頭里
1321,棋盤村
1322,東和村
1323,荷苞村
1324,高林村
1325,水碓村
1326,古坑村
1327,朝陽村
1328,西平村
1329,永光村
1330,永昌村
1331,崁腳村
1332,華南村
1333,華山村
1334,桂林村
1335,樟湖村
